PROVINCE,Total_Release_Water,Year
AB,1452016.4407049115,2020
BC,14630807.102284798,2020
MB,2646839.406229182,2020
NB,863547.9592238583,2020
NL,878945.4610224754,2020
NS,1794729.9048890036,2020
NT,11794.652240568998,2020
NU,6270.353214406792,2020
ON,11400448.070997756,2020
PE,25535.664058089606,2020
QC,15245165.089284316,2020
SK,564502.1265143001,2020
AB,1491596.448789131,2021
BC,14945642.895282036,2021
MB,2591609.8373943414,2021
NB,888064.9125798877,2021
NL,774679.3190394903,2021
NS,1713818.4161201173,2021
NT,14226.824577672061,2021
NU,3227.1227472322153,2021
ON,11791288.754871909,2021
PE,15346.198466709457,2021
QC,14669711.87163791,2021
SK,794571.8775295524,2021
AB,1550274.9086035818,2022
BC,14128275.688563412,2022
MB,2595127.483489956,2022
NB,1013647.9278070356,2022
NL,647843.8772331317,2022
NS,1788019.4581626507,2022
NT,14226.824577672061,2022
NU,2040.187875299012,2022
ON,12384596.103249585,2022
PE,38677.71857389764,2022
QC,15195630.191816654,2022
SK,949770.1917679842,2022
AB,1594350.6929839277,2023
BC,13954065.534718137,2023
MB,2802787.0336195673,2023
NB,1132744.9872426721,2023
NL,649948.1556799981,2023
NS,1774687.0763350716,2023
ON,11830605.511357058,2023
PE,38363.7920508426,2023
QC,15543575.4438241,2023
SK,680900.8949107876,2023
